ticker,entrada_data,entry,stop,alvo,saida_data,R
ITUB4.SA,2021-08-31,19.85,18.73,23.2,2021-09-08,-1.0
ITUB4.SA,2022-02-08,16.69,14.9,22.06,2022-05-09,-0.76
ITUB4.SA,2022-10-18,19.63,18.81,22.1,2022-11-09,-1.0
ITUB4.SA,2023-04-27,17.72,17.3,18.98,2023-05-02,-1.0
ITUB4.SA,2023-06-14,19.39,18.01,23.54,2023-09-06,-0.58
ITUB4.SA,2023-12-08,22.71,21.38,26.7,2024-03-08,1.73
ITUB4.SA,2023-12-22,23.63,21.38,30.37,2024-03-22,0.57
ITUB4.SA,2024-07-16,25.22,24.3,28.0,2024-08-05,-1.0
ITUB4.SA,2024-07-19,25.57,24.3,29.4,2024-08-05,-1.0
ITUB4.SA,2024-09-11,27.93,27.06,30.55,2024-09-20,-1.0
ITUB4.SA,2025-09-19,35.02,33.46,39.71,2025-10-07,-1.0
ITUB4.SA,2025-09-29,34.92,33.46,39.32,2025-10-07,-1.0
ITUB4.SA,2025-11-28,37.43,35.55,43.06,2026-01-26,3.0
ITUB4.SA,2025-12-19,37.58,36.62,40.44,2026-01-21,3.0
ITUB4.SA,2025-12-23,38.27,36.84,42.58,2026-01-22,3.0
ITUB4.SA,2026-01-20,39.11,38.37,41.31,2026-01-22,3.0
ITUB4.SA,2026-07-21,42.49,41.52,45.4,2026-08-07,-1.0
JNJ,2017-08-16,104.3,102.15,110.76,2017-09-05,-1.0
JNJ,2018-07-26,103.97,99.85,116.32,2018-10-19,1.88
JNJ,2019-04-30,114.91,110.48,128.22,2019-05-15,-1.0
JNJ,2019-05-06,115.64,110.48,131.12,2019-05-15,-1.0
JNJ,2019-12-19,120.82,113.18,143.74,2020-02-28,-1.0
JNJ,2020-05-05,125.07,91.32,226.31,2020-07-30,-0.04
JNJ,2022-10-21,150.59,142.08,176.14,2023-01-19,0.2
JNJ,2024-08-30,157.13,147.09,187.25,2024-11-11,-1.0
JNJ,2025-02-13,150.16,145.43,164.37,2025-04-07,-1.0
JNJ,2025-07-10,153.09,144.69,178.28,2025-09-30,3.0
JNJ,2025-08-08,168.27,159.44,194.78,2025-11-03,1.57
JNJ,2025-08-14,169.62,159.44,200.18,2025-11-07,1.26
JNJ,2026-02-11,237.05,207.17,326.69,2026-05-08,-0.6
JNJ,2026-09-01,271.19,263.83,293.27,2026-09-11,-0.76
JPM,2016-12-05,64.49,52.39,100.78,2017-03-03,0.64
JPM,2017-01-03,67.56,64.87,75.62,2017-01-17,-1.0
JPM,2017-06-27,68.97,63.95,84.03,2017-09-21,1.17
JPM,2017-10-02,76.27,73.51,84.54,2017-12-04,3.0
JPM,2017-12-28,85.39,82.89,92.88,2018-01-29,3.0
JPM,2018-02-23,93.41,84.59,119.88,2018-04-02,-1.0
JPM,2019-12-26,116.19,107.45,142.38,2020-02-25,-1.0
JPM,2020-11-23,102.07,82.48,160.86,2021-02-22,1.44
JPM,2020-12-04,105.94,101.99,117.82,2021-01-07,3.0
JPM,2022-11-22,123.66,120.22,133.99,2022-12-05,-1.0
JPM,2023-02-07,132.52,127.31,148.15,2023-02-22,-1.0
JPM,2024-01-04,162.64,127.49,268.1,2024-04-02,0.74
JPM,2024-10-24,217.23,196.1,280.62,2025-01-23,1.93
JPM,2025-05-12,253.95,242.99,286.81,2025-07-03,3.0
JPM,2025-08-22,290.68,279.37,324.62,2025-11-17,0.48
JPM,2025-11-12,315.92,286.47,404.28,2026-02-10,-0.02
JPM,2026-04-17,308.9,279.06,398.42,2026-07-15,1.27
KO,2017-03-30,31.98,31.46,33.53,2017-05-24,3.0
KO,2018-11-09,39.22,35.86,49.29,2019-02-08,0.05
KO,2019-08-22,44.08,41.58,51.58,2019-11-15,-0.46
KO,2019-09-03,44.73,43.19,49.37,2019-10-02,-1.0
KO,2021-06-03,47.63,45.89,52.84,2021-08-27,0.21
KO,2021-08-06,48.85,46.19,56.85,2021-09-28,-1.0
KO,2021-08-13,49.36,48.31,52.52,2021-08-19,-1.0
KO,2022-08-15,57.33,55.7,62.21,2022-08-29,-1.0
KO,2022-12-08,57.54,55.49,63.67,2023-01-11,-1.0
KO,2023-04-17,57.66,56.35,61.58,2023-05-22,-1.0
KO,2024-01-10,55.99,53.45,63.61,2024-04-08,-0.17
KO,2024-03-20,56.96,55.92,60.08,2024-04-04,-1.0
KO,2025-02-21,68.39,59.76,94.27,2025-05-19,0.12
KO,2025-04-29,69.86,63.78,88.11,2025-07-25,-0.43
MCD,2017-09-07,129.22,126.14,138.45,2017-09-12,-1.0
MCD,2018-10-05,137.99,129.7,162.87,2019-01-03,0.94
MCD,2019-04-23,163.79,157.74,181.94,2019-07-18,3.0
MCD,2019-08-21,186.23,181.97,198.98,2019-08-23,-1.0
MCD,2021-12-23,238.02,231.29,258.21,2022-01-14,-1.0
MCD,2022-07-15,230.77,210.1,292.78,2022-09-30,-1.0
MCD,2022-08-10,236.52,225.02,271.0,2022-09-23,-1.0
MCD,2023-07-20,274.9,269.74,290.39,2023-07-26,-1.0
MCD,2024-08-15,260.35,251.31,287.46,2024-09-25,3.0
MRK,2017-02-23,46.93,43.15,58.28,2017-05-19,-0.3
MRK,2017-09-14,48.16,44.23,59.96,2017-10-27,-1.0
MRK,2018-04-23,44.64,39.15,61.14,2018-07-18,0.43
MRK,2018-06-22,45.9,45.24,47.87,2018-06-27,-1.0
MRK,2018-07-18,47.0,45.99,50.02,2018-08-07,3.0
MRK,2019-12-12,69.18,66.81,76.3,2020-01-24,-1.0
MRK,2020-04-23,63.42,51.16,100.19,2020-07-20,-0.05
MRK,2020-12-07,65.69,63.22,73.09,2020-12-18,-1.0
MRK,2021-06-30,66.54,64.64,72.24,2021-08-04,-1.0
MRK,2022-12-08,99.05,86.97,135.29,2023-03-08,-0.14
MRK,2023-04-05,101.36,92.78,127.09,2023-07-03,0.34
MRK,2024-02-15,117.0,115.02,122.94,2024-03-04,-1.0
MRK,2025-09-02,82.71,74.18,108.32,2025-11-25,2.41
MRK,2025-12-11,96.75,80.14,146.59,2026-03-11,1.07
MRK,2025-12-18,99.24,93.87,115.33,2026-02-03,3.0
NEE,2017-02-08,24.64,23.0,29.55,2017-05-05,1.08
NEE,2017-03-13,25.65,23.0,33.58,2017-06-07,0.98
NEE,2017-04-18,25.94,25.22,28.08,2017-05-31,3.0
NEE,2017-06-23,28.34,27.35,31.3,2017-07-06,-1.0
NEE,2017-07-20,28.4,27.32,31.66,2017-10-13,1.47
NEE,2018-06-25,33.84,31.53,40.76,2018-09-19,0.34
NEE,2019-02-28,38.92,35.37,49.57,2019-05-24,0.91
NEE,2019-08-27,46.74,44.71,52.82,2019-11-20,1.29
NEE,2019-09-30,48.89,45.59,58.79,2019-12-24,0.56
